ref_date,gender,empl,emplFull,emplPart,emplRate,labForce,participRate,population,unempl,unemplRate
1982-08,Women+,4489.7,3226.4,1263.3,46.2,5061.5,52.1,9720.1,571.8,11.3
1982-09,Men+,6327.5,5809.9,517.7,67.1,7281.0,77.2,9431.7,953.5,13.1
1982-09,Total - Gender,10806.7,9062.8,1743.9,56.4,12333.7,64.4,19162.5,1527.0,12.4
1982-09,Women+,4479.2,3252.9,1226.3,46.0,5052.7,51.9,9730.8,573.5,11.4
1982-10,Men+,6305.0,5780.5,524.5,66.8,7299.3,77.3,9441.7,994.3,13.6
1982-10,Total - Gender,10787.2,9023.3,1764.0,56.2,12389.3,64.6,19183.2,1602.1,12.9
1982-10,Women+,4482.2,3242.8,1239.4,46.0,5090.0,52.3,9741.5,607.8,11.9
1982-11,Men+,6279.9,5740.3,539.6,66.4,7255.9,76.8,9451.3,976.0,13.5
1982-11,Total - Gender,10764.1,8997.0,1767.2,56.1,12364.6,64.4,19203.3,1600.4,12.9
1982-11,Women+,4484.3,3256.7,1227.6,46.0,5108.7,52.4,9752.0,624.5,12.2
1982-12,Men+,6280.7,5744.4,536.3,66.4,7263.5,76.8,9460.4,982.8,13.5
1982-12,Total - Gender,10774.1,8992.8,1781.3,56.0,12398.5,64.5,19222.6,1624.4,13.1
1982-12,Women+,4493.4,3248.4,1245.0,46.0,5135.0,52.6,9762.2,641.6,12.5
1983-01,Men+,6295.1,5741.7,553.4,66.5,7235.3,76.4,9470.5,940.2,13.0
1983-01,Total - Gender,10801.1,8993.4,1807.7,56.1,12374.0,64.3,19244.2,1572.9,12.7
1983-01,Women+,4506.0,3251.7,1254.3,46.1,5138.7,52.6,9773.7,632.7,12.3
1983-02,Men+,6305.6,5752.1,553.6,66.5,7246.9,76.4,9481.0,941.2,13.0
1983-02,Total - Gender,10818.2,9009.9,1808.4,56.2,12391.8,64.3,19266.5,1573.6,12.7
1983-02,Women+,4512.6,3257.8,1254.8,46.1,5144.9,52.6,9785.5,632.3,12.3
1983-03,Men+,6338.5,5776.8,561.7,66.8,7262.4,76.5,9489.8,923.9,12.7
1983-03,Total - Gender,10874.9,9059.0,1815.9,56.4,12429.6,64.5,19285.1,1554.7,12.5
1983-03,Women+,4536.4,3282.2,1254.2,46.3,5167.1,52.8,9795.4,630.8,12.2
1983-04,Men+,6363.0,5803.1,560.0,67.0,7293.4,76.8,9498.9,930.4,12.8
1983-04,Total - Gender,10932.6,9096.7,1835.9,56.6,12486.3,64.7,19304.2,1553.7,12.4
1983-04,Women+,4569.5,3293.7,1275.9,46.6,5192.8,53.0,9805.3,623.3,12.0
1983-05,Men+,6376.1,5828.4,547.7,67.0,7318.7,77.0,9510.4,942.6,12.9
1983-05,Total - Gender,10952.5,9120.6,1831.9,56.7,12509.0,64.7,19328.1,1556.5,12.4
1983-05,Women+,4576.4,3292.2,1284.2,46.6,5190.3,52.9,9817.8,613.8,11.8
1983-06,Men+,6407.3,5859.4,547.9,67.3,7357.9,77.3,9519.1,950.6,12.9
1983-06,Total - Gender,11021.4,9178.5,1842.9,57.0,12578.7,65.0,19346.5,1557.3,12.4
1983-06,Women+,4614.1,3319.1,1295.1,47.0,5220.8,53.1,9827.4,606.6,11.6
1983-07,Men+,6444.7,5877.5,567.2,67.6,7349.5,77.1,9526.8,904.8,12.3
1983-07,Total - Gender,11073.4,9191.3,1882.0,57.2,12566.2,64.9,19363.3,1492.9,11.9
