"educm","heightm","BMIm","healthm"
2,183,22.395414,4
2,170,26.643599,3
2,180,28.395061,3
2,185,26.588751,3
1,178,25.880571,3
3,175,29.387754,2
3,176,24.535124,3
3,180,26.543209,4
3,176,20.661158,3
2,186,28.326975,3
2,198,24.99745,3
2,201,21.534121,2
3,186,23.413111,3
2,178,25.249338,3
2,191,24.122147,3
2,187,28.310789,1
2,181,25.02976,3
3,185,26.296566,3
2,178,23.04002,3
2,185,26.588751,4
2,189,25.195263,3
3,180,27.777779,3
2,173,20.715694,3
3,179,27.776911,3
2,200,18.75,3
2,185,21.037254,3
2,182,25.963047,3
2,175,30.693878,3
2,183,25.381468,3
2,165,24.977043,3
2,185,33.60117,3
2,181,26.861206,2
2,195,26.298489,4
2,195,21.56476,3
2,192,23.057726,2
2,191,21.106878,2
3,192,25.227865,3
2,184,29.536861,3
2,180,30.864197,3
3,198,22.44669,4
3,206,23.329248,3
2,176,23.889463,4
2,182,20.528921,3
2,186,23.991213,3
3,188,22.06881,3
2,187,24.021276,3
2,180,27.160494,3
2,180,29.320988,4
